rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/explained_variance,train/std,train/value_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,eval/mean_ep_length,eval/mean_reward
1.0,4.455075960000001,1,23,2048,85,,,,,,,,,,,,,
1.0,4.43328852,2,23,4096,177,-21.29795514345169,-0.02310011571389623,0.2,0.0003,-0.09183430671691895,1.0012768507003784,1.5072825478157028,0.01566744,10,0.174267578125,0.015590332448482513,,
1.0,4.43353914,3,22,6144,269,-21.280784499645232,-0.04034275016165338,0.2,0.0003,0.6712073683738708,0.9984458684921265,0.02272942214331124,0.024815883,20,0.276220703125,-0.0774591714143753,,
1.0,4.44658491,4,23,8192,356,-21.19896504878998,-0.07001176579506137,0.2,0.0003,0.8199386596679688,0.9923629760742188,0.01718246039818041,0.062402822,30,0.406201171875,-0.07063145935535431,,
,,,,10000,,-21.1058311522007,-0.07547083708341233,0.2,0.0003,0.8296186923980713,0.9858559966087341,0.01667951862036716,0.08742638,40,0.497412109375,-0.07859466969966888,2.8,13.4618498
1.0,4.465452719999999,5,23,10240,443,,,,,,,,,,,,,
1.0,4.55696854,6,23,12288,529,-21.01589032411575,-0.08943843391025438,0.2,0.0003,0.8519432544708252,0.980152428150177,0.016734645314863884,0.12882245,50,0.579931640625,-0.12513960897922516,,
1.0,4.42967014,7,23,14336,616,-20.93745458126068,-0.08100825594738126,0.2,0.0003,0.8441171646118164,0.9753255844116211,0.01850989171070978,0.15466711,60,0.61455078125,-0.06521022319793701,,
1.0,4.5221855799999995,8,23,16384,702,-20.853711289167403,-0.07160629407444503,0.2,0.0003,0.8439919352531433,0.9707435369491577,0.017843377590179444,0.17349473,70,0.649658203125,-0.07746680825948715,,
1.0,4.62501861,9,23,18432,794,-20.773664438724516,-0.06937138326466083,0.2,0.0003,0.8491684198379517,0.9643428325653076,0.01784535254118964,0.20827715,80,0.6732421875,-0.09922444820404053,,
,,,,20000,,-20.691001933813094,-0.0552203517901944,0.2,0.0003,0.8436602354049683,0.9607502222061157,0.02103676779079251,0.22846794,90,0.67548828125,-0.043491799384355545,1.0,4.5899286
1.0,4.675749220000001,10,23,20480,881,,,,,,,,,,,,,
1.0,4.69168774,11,23,22528,968,-20.61410259604454,-0.05453861172427423,0.2,0.0003,0.8447039127349854,0.9552477598190308,0.02014723203610629,0.2847104,100,0.701708984375,-0.04629114270210266,,
1.0,4.73230797,12,23,24576,1054,-20.535273522138596,-0.04821600342693273,0.2,0.0003,0.8257633447647095,0.9517988562583923,0.02256100010126829,0.31777817,110,0.715625,-0.09057022631168365,,
1.0,4.744965400000001,13,23,26624,1141,-20.46212982535362,-0.026651582767954096,0.2,0.0003,0.8226484060287476,0.9466719031333923,0.022745796301751397,0.28108457,120,0.71240234375,-0.08294650167226791,,
1.0,4.7399334699999995,14,23,28672,1228,-20.39056470990181,-0.010098404603195377,0.2,0.0003,0.8200868964195251,0.9434226751327515,0.022377357407822273,0.44318196,130,0.73662109375,-0.015777654945850372,,
,,,,30000,,-20.340750569105147,-0.0016087929747300223,0.2,0.0003,0.8189218640327454,0.9409701228141785,0.02501839343458414,0.4332029,140,0.76396484375,-0.06810761243104935,1.0,4.7087388
1.0,4.76918107,15,23,30720,1314,,,,,,,,,,,,,
1.0,4.83077445,16,23,32768,1401,-20.27765755057335,0.03504897135135252,0.2,0.0003,0.802100419998169,0.9359551668167114,0.025882569781970233,0.70647454,150,0.783447265625,0.07913311570882797,,
1.0,4.86633216,17,23,34816,1488,-20.206788843870164,0.04345157694478985,0.2,0.0003,0.7853836417198181,0.9332371950149536,0.029227915755473077,0.59945,160,0.78984375,-0.02810218371450901,,
1.0,4.8860937,18,23,36864,1574,-20.16424027681351,0.04701704977487679,0.2,0.0003,0.7744624614715576,0.9317654371261597,0.027764935093000532,0.4805503,170,0.787451171875,0.030931033194065094,,
1.0,4.9433096999999995,19,23,38912,1661,-20.147977459430695,0.1265037367877085,0.2,0.0003,0.7716993093490601,0.9308003187179565,0.03098209651070647,0.68111265,180,0.837060546875,0.2549939453601837,,
,,,,40000,,-20.083989763259886,0.04537721422093455,0.2,0.0003,0.6936050653457642,0.9254055619239807,0.03507179520092905,0.769364,190,0.805078125,0.006072542630136013,1.0,4.9704792
1.0,4.86048011,20,23,40960,1747,,,,,,,,,,,,,
1.0,4.888683249999999,21,23,43008,1839,-20.013110733032228,0.08053635923133698,0.2,0.0003,0.7409387826919556,0.9223560094833374,0.03255989977624267,0.8449531,200,0.82158203125,0.05001537501811981,,
1.0,4.918167030000001,22,23,45056,1926,-19.95118546485901,0.22065609265409875,0.2,0.0003,0.7345060110092163,0.9182992577552795,0.04556733766803518,0.986601,210,0.861572265625,0.048877373337745667,,
1.0,4.93490055,23,23,47104,2018,-19.877535140514375,0.11544276314671151,0.2,0.0003,0.6915594339370728,0.9134107828140259,0.04180552528123371,1.0759392,220,0.8388671875,0.0724172443151474,,
1.0,4.921437940000001,24,23,49152,2110,-19.797759771347046,0.10317764271749183,0.2,0.0003,0.7152400016784668,0.9094736576080322,0.038203420117497444,1.0575069,230,0.85244140625,0.014401111751794815,,
,,,,50000,,-19.747714936733246,0.10594674176245462,0.2,0.0003,0.7150192260742188,0.9082241654396057,0.03791032276349142,1.1442565,240,0.83271484375,0.13276687264442444,1.0,5.175579
1.0,4.963738579999999,25,23,51200,2202,,,,,,,,,,,,,
