time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/approx_kl,train/clip_fraction,train/value_loss,train/n_updates,train/loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/std,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
2048,4.00798065,1.0,17,118,1,,,,,,,,,,,,,
4096,3.9727632899999996,1.0,17,238,2,0.0003,0.034008905,0.304931640625,1.1366792607179377,10,-0.09013408422470093,-0.25608575344085693,-0.05879721819219412,0.2,0.9952414035797119,-35.38956719636917,,
6144,3.986982130000001,1.0,17,359,3,0.0003,0.069778636,0.468408203125,0.030290207255166023,20,-0.10717329382896423,0.15365153551101685,-0.08065807774109998,0.2,0.9840940237045288,-35.16162512302399,,
8192,4.007489909999999,1.0,17,479,4,0.0003,0.09510775,0.53681640625,0.027092269173590467,30,-0.1009771078824997,0.307023823261261,-0.08713725606794469,0.2,0.9731053709983826,-34.883890342712405,,
10000,,,,,,0.0003,0.12772536,0.590478515625,0.025784282651147804,40,-0.12082480639219284,0.3615473508834839,-0.0835051282600034,0.2,0.9618922472000122,-34.59934667348862,11.836001800000002,2.8
10240,4.03111482,1.0,17,600,5,,,,,,,,,,,,,
12288,4.038846990000001,1.0,17,719,6,0.0003,0.16795123,0.657666015625,0.025122707974514925,50,-0.07457663863897324,0.36235636472702026,-0.08374150517338422,0.2,0.9532287120819092,-34.3564214348793,,
14336,4.06601243,1.0,17,839,7,0.0003,0.19592182,0.67060546875,0.026546132235671392,60,-0.11014880985021591,0.398306667804718,-0.08404511387925595,0.2,0.9434645175933838,-34.09902616739273,,
16384,4.103181360000001,1.0,17,959,8,0.0003,0.23166609,0.69208984375,0.02701911627955269,70,-0.1254437416791916,0.35964637994766235,-0.07072617739759153,0.2,0.9332683086395264,-33.833389854431154,,
18432,4.18958398,1.0,17,1079,9,0.0003,0.28812188,0.706640625,0.026309868530370296,80,-0.1111544519662857,0.3581501245498657,-0.07651598199736327,0.2,0.9204866886138916,-33.50830993652344,,
20000,,,,,,0.0003,0.3150622,0.726123046875,0.026254740919102914,90,-0.09589101374149323,0.3461220860481262,-0.05259247938229237,0.2,0.9108431935310364,-33.19198656082153,4.3247456,1.0
20480,4.17396292,1.0,17,1200,10,,,,,,,,,,,,,
22528,4.20272069,1.0,17,1320,11,0.0003,0.39141527,0.749755859375,0.028325948829296975,100,-0.05980124697089195,0.3444606065750122,-0.03709362613444682,0.2,0.8991754055023193,-32.893799769878385,,
24576,4.178295909999999,1.0,17,1440,12,0.0003,0.41008693,0.759912109375,0.02618911832687445,110,-0.06513828039169312,0.34180164337158203,-0.044385590133606455,0.2,0.8877347707748413,-32.561568069458005,,
26624,4.26056533,1.0,17,1560,13,0.0003,0.4233414,0.771875,0.028449951569200493,120,-0.09839632362127304,0.32049107551574707,-0.03577214178221766,0.2,0.8779468536376953,-32.252132785320285,,
28672,4.259543870000001,1.0,17,1681,14,0.0003,0.5016513,0.78056640625,0.026907677500275895,130,-0.07193182408809662,0.33560067415237427,-0.028966188766935373,0.2,0.8678894639015198,-31.948520684242247,,
30000,,,,,,0.0003,0.5323249,0.778955078125,0.02611470809788443,140,-0.06748457998037338,0.31224972009658813,-0.009726828623388428,0.2,0.8591681122779846,-31.670008450746536,4.4853027999999995,1.0
30720,4.27578283,1.0,17,1801,15,,,,,,,,,,,,,
32768,4.2661327,1.0,17,1922,16,0.0003,0.62946784,0.810791015625,0.029172885901061818,150,-0.06506723165512085,0.2640334367752075,-0.006456946664548014,0.2,0.8491514325141907,-31.37180075645447,,
34816,4.33370075,1.0,17,2042,17,0.0003,0.6646938,0.794775390625,0.027376454381737858,160,-0.04515675827860832,0.3047834634780884,-0.007692467398010194,0.2,0.8390997052192688,-31.057889342308044,,
36864,4.3496035,1.0,17,2162,18,0.0003,0.70143783,0.805615234375,0.027148246433353052,170,-0.03430095314979553,0.27789467573165894,0.0005210303599596955,0.2,0.8283615112304688,-30.725988709926604,,
38912,4.34262925,1.0,17,2282,19,0.0003,0.7606282,0.810595703125,0.02772042148280889,180,-0.04711240530014038,0.30532777309417725,-0.002480009035207331,0.2,0.8192651271820068,-30.401017117500306,,
40000,,,,,,0.0003,0.7220123,0.830859375,0.02808797228790354,190,-0.0497976578772068,0.25396209955215454,0.04815445637213998,0.2,0.8096416592597961,-30.093442511558532,4.6155002,1.0
40960,4.34367225,1.0,17,2403,20,,,,,,,,,,,,,
43008,4.3156354,1.0,17,2523,21,0.0003,0.79337204,0.8296875,0.026486402150476353,200,-0.004012756049633026,0.28430402278900146,0.04055526307201944,0.2,0.8033120632171631,-29.813342958688736,,
45056,4.34094258,1.0,17,2643,22,0.0003,1.0663052,0.8744140625,0.02733207048731856,210,0.06084015592932701,0.2812501788139343,0.07546613700978924,0.2,0.7961652278900146,-29.59895854592323,,
47104,4.358482840000001,1.0,17,2764,23,0.0003,0.95009136,0.850927734375,0.02958824804518372,220,-0.02483713999390602,0.2602437734603882,0.05048007531586336,0.2,0.7859862446784973,-29.301779186725618,,
49152,4.37121109,1.0,17,2885,24,0.0003,0.9536073,0.84833984375,0.02675178357749246,230,-0.05800916254520416,0.2543048858642578,0.04345549028512323,0.2,0.7779020667076111,-28.984435403347014,,
50000,,,,,,0.0003,1.0092893,0.849072265625,0.02788331177434884,240,0.0169383492320776,0.2946513295173645,0.038008576921129134,0.2,0.7679476737976074,-28.656552881002426,4.6087802,1.0
51200,4.37859317,1.0,17,3006,25,,,,,,,,,,,,,
53248,4.38535463,1.0,17,3126,26,0.0003,0.95073915,0.84072265625,0.0260367590788519,250,0.004562005400657654,0.2527642846107483,0.03452309517888352,0.2,0.7597451210021973,-28.33568497300148,,
55296,4.36703497,1.0,17,3246,27,0.0003,0.9701346,0.8646484375,0.026788304629735648,260,-0.03303324058651924,0.2657254934310913,0.06873053272865945,0.2,0.7520526051521301,-28.04741731286049,,
57344,4.3948148400000004,1.0,17,3366,28,0.0003,1.413512,0.871923828125,0.026819142501335592,270,0.19046786427497864,0.323363721370697,0.1110128279091441,0.2,0.7460319399833679,-27.818249398469924,,
59392,4.397447580000001,1.0,17,3487,29,0.0003,1.2163985,0.867236328125,0.026602019908023068,280,-0.025273583829402924,0.3033371567726135,0.06051459001027979,0.2,0.7384207844734192,-27.561239647865296,,
60000,,,,,,0.0003,1.3253164,0.88154296875,0.028542477055452764,290,0.22835592925548553,0.30014538764953613,0.09079164683207637,0.2,0.7317200303077698,-27.29226142168045,4.6943649999999995,1.0
61440,4.41059544,1.0,17,3608,30,,,,,,,,,,,,,
63488,4.420898419999999,1.0,17,3728,31,0.0003,1.2852125,0.8767578125,0.027945522859226912,300,0.04198107495903969,0.2897149920463562,0.09669115155702457,0.2,0.7247701287269592,-27.029085701704027,,
65536,4.46195205,1.0,17,3848,32,0.0003,1.5957808,0.87587890625,0.028646484098862855,310,-0.025074930861592293,0.2672674059867859,0.13114718729775632,0.2,0.7176875472068787,-26.781263571977615,,
67584,4.43413289,1.0,17,3969,33,0.0003,1.1416087,0.860400390625,0.029020444228081033,320,-0.053983066231012344,0.2816775441169739,0.06327527845423901,0.2,0.7089830636978149,-26.446361511945724,,
69632,4.421572480000001,1.0,17,4089,34,0.0003,1.3830044,0.884619140625,0.028079702734248712,330,-0.019760165363550186,0.33189666271209717,0.0811457968025934,0.2,0.7028690576553345,-26.164968180656434,,
70000,,,,,,0.0003,1.5275185,0.8751953125,0.026888444274663924,340,0.19503311812877655,0.28823959827423096,0.10598042438796255,0.2,0.6986057162284851,-25.943634104728698,4.7363642,1.0
71680,4.493179549999999,1.0,17,4211,35,,,,,,,,,,,,,
73728,4.47404834,1.0,17,4332,36,0.0003,1.7407571,0.90048828125,0.027401532308431342,350,-0.018613193184137344,0.32381272315979004,0.10613845564948861,0.2,0.6932420134544373,-25.75464298725128,,
75776,4.44610737,1.0,17,4452,37,0.0003,1.8906163,0.904736328125,0.025889983435627074,360,0.055819034576416016,0.2887578010559082,0.19777419937890955,0.2,0.6884670257568359,-25.563226437568666,,
77824,4.423763109999999,1.0,17,4573,38,0.0003,1.5132874,0.88935546875,0.027114492666441947,370,0.013843273743987083,0.2788119912147522,0.10601217445946531,0.2,0.6843107342720032,-25.369832074642183,,
79872,4.4449831699999995,1.0,17,4694,39,0.0003,1.5391209,0.890869140625,0.027593491112929767,380,-0.0097661716863513,0.31045013666152954,0.10906701757630799,0.2,0.6799289584159851,-25.17281163930893,,
80000,,,,,,0.0003,1.5167193,0.89462890625,0.027069575144560078,390,0.04116154462099075,0.31539005041122437,0.10920177852967754,0.2,0.6753787398338318,-24.983020615577697,4.593451,1.0
81920,4.4387437599999995,1.0,17,4815,40,,,,,,,,,,,,,
83968,4.45755139,1.0,17,4936,41,0.0003,1.9132068,0.896826171875,0.028680534590966998,400,0.12201915681362152,0.34199774265289307,0.10448091193975415,0.2,0.6715842485427856,-24.818335151672365,,
86016,4.45447217,1.0,17,5057,42,0.0003,2.016477,0.907080078125,0.027942441889899784,410,0.11180628836154938,0.31872040033340454,0.16969707399402978,0.2,0.669119119644165,-24.679868096113204,,
88064,4.44762531,1.0,17,5177,43,0.0003,1.7740903,0.902978515625,0.029049010254675524,420,0.033088911324739456,0.31517940759658813,0.12044181151723024,0.2,0.6647298336029053,-24.53680475950241,,
90000,,,,,,0.0003,1.9045641,0.899951171875,0.026593253033934162,430,0.0723676010966301,0.3122687339782715,0.14796047445561272,0.2,0.6596720814704895,-24.346039801836014,4.639867199999999,1.0
90112,4.4907653299999994,1.0,17,5298,44,,,,,,,,,,,,,
92160,4.48064459,1.0,17,5418,45,0.0003,1.8072386,0.903369140625,0.02736990743142087,440,-0.005044388584792614,0.34312182664871216,0.1377114321119734,0.2,0.6549330353736877,-24.12293461561203,,
94208,4.46839566,1.0,17,5540,46,0.0003,1.9949808,0.9009765625,0.027029444367508405,450,0.1984727382659912,0.34405285120010376,0.2434731181609095,0.2,0.6515346765518188,-23.946427953243255,,
96256,4.47497396,1.0,17,5661,47,0.0003,1.9289443,0.912841796875,0.028186597547028215,460,0.046660710126161575,0.3299906253814697,0.14816698228823952,0.2,0.6486698985099792,-23.79463372826576,,
98304,4.45456957,1.0,17,5781,48,0.0003,1.8535893,0.91337890625,0.025287828681757673,470,0.13518275320529938,0.3316879868507385,0.15263788757147267,0.2,0.6472715139389038,-23.681645846366884,,
100000,,,,,,0.0003,2.6760309,0.918359375,0.02642075880721677,480,0.13458532094955444,0.3267357349395752,0.17121417517773807,0.2,0.6448172926902771,-23.575016462802886,4.6526852,1.0
100352,4.49281056,1.0,17,5903,49,,,,,,,,,,,,,
102400,4.4850332,1.0,16,6023,50,0.0003,2.0923233,0.91123046875,0.02586708218441345,490,0.07015641033649445,0.33359789848327637,0.16032635963347275,0.2,0.6405964493751526,-23.432455414533614,,
104448,4.47224664,1.0,16,6144,51,0.0003,1.9058294,0.902099609375,0.02609777536126785,500,0.07026681303977966,0.3391854763031006,0.1314423636387801,0.2,0.6368393898010254,-23.26304875612259,,
106496,4.47223088,1.0,16,6265,52,0.0003,1.9330971,0.902001953125,0.02660155787016265,510,0.19413785636425018,0.35495638847351074,0.1317939745626063,0.2,0.6327134370803833,-23.097413611412048,,
108544,4.48599073,1.0,16,6385,53,0.0003,2.0252025,0.906201171875,0.026060095519642345,520,0.06856870651245117,0.3518500328063965,0.14329507856164128,0.2,0.6275251507759094,-22.89673854112625,,
110000,,,,,,0.0003,1.6898904,0.900634765625,0.027357290199142882,530,0.07488986104726791,0.3673144578933716,0.10816227850737051,0.2,0.6243298053741455,-22.700533837080002,4.7007624,1.0
110592,4.50332159,1.0,16,6506,54,,,,,,,,,,,,,
112640,4.5132262800000005,1.0,16,6626,55,0.0003,2.13173,0.8974609375,0.027137944888090716,540,0.10056935250759125,0.3373802900314331,0.1539948564270162,0.2,0.6213167905807495,-22.581638383865357,,
114688,4.487741580000001,1.0,17,6744,56,0.0003,1.9143422,0.88916015625,0.026546893763588743,550,0.06599944829940796,0.36104816198349,0.10721488041162956,0.2,0.6159127950668335,-22.395842343568802,,
