[po4ncpa] device=cuda image=33x33 modes=55 coronagraph=False
[po4ncpa] ideal-image residual ref: max=1.000e+00 sum=1.107e+01
ep   250 | dynL 0.300 polR 0.000e+00 | train C 5.10e-03 S 0.023 | EVAL C 3.778e-03 S 0.9304 | buf 5000 | 371s
ep   500 | dynL 0.330 polR 0.000e+00 | train C 4.17e-03 S 0.025 | EVAL C 3.778e-03 S 0.9304 | buf 10000 | 705s
ep   750 | dynL 0.353 polR 0.000e+00 | train C 3.74e-03 S 0.029 | EVAL C 3.778e-03 S 0.9304 | buf 15000 | 1098s
ep  1000 | dynL 0.367 polR 0.000e+00 | train C 6.27e-03 S 0.025 | EVAL C 3.778e-03 S 0.9304 | buf 20000 | 1457s
ep  1250 | dynL 0.376 polR 0.000e+00 | train C 4.87e-03 S 0.024 | EVAL C 3.778e-03 S 0.9304 | buf 25000 | 1839s
ep  1500 | dynL 0.386 polR 0.000e+00 | train C 5.15e-03 S 0.029 | EVAL C 3.778e-03 S 0.9304 | buf 30000 | 2203s
ep  1750 | dynL 0.395 polR 0.000e+00 | train C 3.59e-03 S 0.026 | EVAL C 3.778e-03 S 0.9304 | buf 35000 | 2576s
ep  2000 | dynL 0.401 polR 0.000e+00 | train C 4.77e-03 S 0.023 | EVAL C 3.778e-03 S 0.9304 | buf 40000 | 2950s
ep  2250 | dynL 0.407 polR 0.000e+00 | train C 3.75e-03 S 0.027 | EVAL C 3.778e-03 S 0.9304 | buf 45000 | 3327s
ep  2500 | dynL 0.413 polR 0.000e+00 | train C 3.83e-03 S 0.028 | EVAL C 3.778e-03 S 0.9304 | buf 50000 | 3722s
ep  2750 | dynL 0.415 polR 0.000e+00 | train C 7.68e-03 S 0.056 | EVAL C 3.778e-03 S 0.9304 | buf 55000 | 4093s
ep  3000 | dynL 0.420 polR 0.000e+00 | train C 4.38e-03 S 0.029 | EVAL C 3.778e-03 S 0.9304 | buf 60000 | 4462s
ep  3250 | dynL 0.423 polR 0.000e+00 | train C 4.33e-03 S 0.018 | EVAL C 3.778e-03 S 0.9304 | buf 65000 | 4837s
ep  3500 | dynL 0.426 polR 0.000e+00 | train C 3.82e-03 S 0.023 | EVAL C 3.778e-03 S 0.9304 | buf 70000 | 5227s
ep  3750 | dynL 0.427 polR 0.000e+00 | train C 3.60e-03 S 0.026 | EVAL C 3.778e-03 S 0.9304 | buf 75000 | 5586s
ep  4000 | dynL 0.429 polR 0.000e+00 | train C 4.11e-03 S 0.020 | EVAL C 3.778e-03 S 0.9304 | buf 80000 | 5978s
ep  4250 | dynL 0.428 polR -2.407e+01 | train C 2.86e-03 S 0.018 | EVAL C 2.303e-03 S 0.0161 | buf 85000 | 6419s
ep  4500 | dynL 0.424 polR -2.303e+01 | train C 2.60e-03 S 0.017 | EVAL C 2.852e-03 S 0.0156 | buf 90000 | 6852s
ep  4750 | dynL 0.420 polR -2.167e+01 | train C 1.08e-03 S 0.007 | EVAL C 1.209e-03 S 0.0076 | buf 95000 | 7254s
ep  5000 | dynL 0.416 polR -2.185e+01 | train C 1.98e-03 S 0.009 | EVAL C 1.847e-03 S 0.0106 | buf 100000 | 7664s
ep  5250 | dynL 0.414 polR -2.125e+01 | train C 1.96e-03 S 0.009 | EVAL C 1.727e-03 S 0.0074 | buf 105000 | 8095s
ep  5500 | dynL 0.410 polR -2.102e+01 | train C 1.91e-03 S 0.011 | EVAL C 1.436e-03 S 0.0110 | buf 110000 | 8525s
ep  5750 | dynL 0.411 polR -2.163e+01 | train C 2.04e-03 S 0.012 | EVAL C 2.080e-03 S 0.0101 | buf 115000 | 8922s
ep  6000 | dynL 0.410 polR -2.139e+01 | train C 1.61e-03 S 0.010 | EVAL C 1.492e-03 S 0.0084 | buf 120000 | 9337s
ep  6250 | dynL 0.407 polR -2.205e+01 | train C 1.65e-03 S 0.007 | EVAL C 1.699e-03 S 0.0077 | buf 125000 | 9750s
ep  6500 | dynL 0.406 polR -2.107e+01 | train C 2.29e-03 S 0.016 | EVAL C 1.764e-03 S 0.0103 | buf 130000 | 10181s
ep  6750 | dynL 0.405 polR -2.069e+01 | train C 1.49e-03 S 0.016 | EVAL C 1.915e-03 S 0.0118 | buf 135000 | 10594s
ep  7000 | dynL 0.405 polR -2.175e+01 | train C 1.64e-03 S 0.012 | EVAL C 2.044e-03 S 0.0098 | buf 140000 | 11013s
ep  7250 | dynL 0.404 polR -2.121e+01 | train C 1.66e-03 S 0.012 | EVAL C 1.846e-03 S 0.0100 | buf 145000 | 11441s
ep  7500 | dynL 0.404 polR -2.039e+01 | train C 1.85e-03 S 0.011 | EVAL C 1.947e-03 S 0.0097 | buf 150000 | 11846s
ep  7750 | dynL 0.403 polR -2.121e+01 | train C 2.10e-03 S 0.016 | EVAL C 1.839e-03 S 0.0108 | buf 155000 | 12253s
ep  8000 | dynL 0.402 polR -2.145e+01 | train C 1.79e-03 S 0.015 | EVAL C 1.919e-03 S 0.0115 | buf 160000 | 12690s
ep  8250 | dynL 0.402 polR -2.108e+01 | train C 1.97e-03 S 0.013 | EVAL C 1.864e-03 S 0.0123 | buf 165000 | 13104s
ep  8500 | dynL 0.400 polR -2.068e+01 | train C 2.06e-03 S 0.012 | EVAL C 2.006e-03 S 0.0130 | buf 170000 | 13514s
ep  8750 | dynL 0.399 polR -2.044e+01 | train C 2.19e-03 S 0.018 | EVAL C 1.898e-03 S 0.0130 | buf 175000 | 13937s
ep  9000 | dynL 0.398 polR -2.023e+01 | train C 2.23e-03 S 0.015 | EVAL C 1.947e-03 S 0.0104 | buf 180000 | 14347s
ep  9250 | dynL 0.394 polR -2.116e+01 | train C 2.14e-03 S 0.014 | EVAL C 1.877e-03 S 0.0122 | buf 185000 | 14782s
