[po4ncpa] per-mode action scale: min 2.52e-09 max 4.65e-08 (headroom 5.0, 55 modes)
[po4ncpa] device=cuda image=33x33 modes=55 coronagraph=False
[po4ncpa] ideal-image residual ref: max=1.000e+00 sum=1.107e+01
ep   250 | dynL 0.317 polR 0.000e+00 | train C 4.42e-03 S 0.772 | EVAL C 3.109e-03 S 0.9734 | buf 5000 | 359s
ep   500 | dynL 0.323 polR 0.000e+00 | train C 4.70e-03 S 0.675 | EVAL C 3.109e-03 S 0.9734 | buf 10000 | 720s
ep   750 | dynL 0.328 polR 0.000e+00 | train C 5.16e-03 S 0.811 | EVAL C 3.109e-03 S 0.9734 | buf 15000 | 1080s
ep  1000 | dynL 0.329 polR 0.000e+00 | train C 5.36e-03 S 0.687 | EVAL C 3.109e-03 S 0.9734 | buf 20000 | 1461s
ep  1250 | dynL 0.328 polR 0.000e+00 | train C 4.99e-03 S 0.685 | EVAL C 3.109e-03 S 0.9734 | buf 25000 | 1826s
ep  1500 | dynL 0.329 polR 0.000e+00 | train C 4.60e-03 S 0.805 | EVAL C 3.109e-03 S 0.9734 | buf 30000 | 2200s
ep  1750 | dynL 0.330 polR 0.000e+00 | train C 4.70e-03 S 0.776 | EVAL C 3.109e-03 S 0.9734 | buf 35000 | 2569s
ep  2000 | dynL 0.332 polR 0.000e+00 | train C 4.82e-03 S 0.770 | EVAL C 3.109e-03 S 0.9734 | buf 40000 | 2947s
ep  2250 | dynL 0.331 polR 0.000e+00 | train C 5.33e-03 S 0.782 | EVAL C 3.109e-03 S 0.9734 | buf 45000 | 3313s
ep  2500 | dynL 0.333 polR 0.000e+00 | train C 4.58e-03 S 0.805 | EVAL C 3.109e-03 S 0.9734 | buf 50000 | 3687s
ep  2750 | dynL 0.332 polR 0.000e+00 | train C 4.18e-03 S 0.803 | EVAL C 3.109e-03 S 0.9734 | buf 55000 | 4058s
ep  3000 | dynL 0.333 polR 0.000e+00 | train C 4.45e-03 S 0.775 | EVAL C 3.109e-03 S 0.9734 | buf 60000 | 4421s
