name, memory.total [MiB]
Tesla V100-PCIE-32GB, 32768 MiB
[infogain] correction scale min 2.84e-09 max 4.62e-08 | probe scale (x0.1) min 2.84e-10 max 4.62e-09 | modes=55 action=110
[infogain] RESUMED from logs/po4ncpa_dynamic_scratch_t10/po4ncpa_infogain_best.pt
[infogain] reloaded replay buffer (200000 transitions) from logs/po4ncpa_dynamic_scratch_t10/replay_buffer.npz -> refill gate skipped, updates start immediately
[infogain] device=cuda image=33x33 modes=55 action=110 workers=14 max_steps=8 lambda_info=0.0 reward=log lr_final_frac=0.5 explore_std_final=0.01
ep   252 | dynL 0.482 polR 2.047e-01 info 4.346e-02 | train C 7.41e-05 S 0.989 | EVAL C 4.680e-05 S 0.9932 | buf 200000 | 244s
ep   504 | dynL 0.485 polR 2.218e-01 info 4.502e-02 | train C 6.08e-05 S 0.991 | EVAL C 4.738e-05 S 0.9932 | buf 200000 | 487s
ep   756 | dynL 0.485 polR 2.278e-01 info 2.357e-02 | train C 3.86e-05 S 0.992 | EVAL C 4.668e-05 S 0.9927 | buf 200000 | 735s
ep  1008 | dynL 0.486 polR 2.594e-01 info 2.153e-02 | train C 2.95e-05 S 0.993 | EVAL C 4.913e-05 S 0.9924 | buf 200000 | 980s
ep  1260 | dynL 0.492 polR 2.390e-01 info 3.697e-02 | train C 9.36e-05 S 0.986 | EVAL C 4.905e-05 S 0.9922 | buf 200000 | 1229s
ep  1512 | dynL 0.491 polR 2.265e-01 info 2.364e-02 | train C 3.11e-05 S 0.992 | EVAL C 4.752e-05 S 0.9925 | buf 200000 | 1474s
ep  1764 | dynL 0.491 polR 1.694e-01 info 4.069e-02 | train C 7.44e-05 S 0.987 | EVAL C 4.818e-05 S 0.9931 | buf 200000 | 1719s
ep  2016 | dynL 0.493 polR 1.944e-01 info 3.994e-02 | train C 9.19e-05 S 0.983 | EVAL C 4.857e-05 S 0.9930 | buf 200000 | 1968s
ep  2268 | dynL 0.493 polR 2.192e-01 info 2.839e-02 | train C 7.67e-05 S 0.984 | EVAL C 4.855e-05 S 0.9930 | buf 200000 | 2214s
ep  2520 | dynL 0.497 polR 2.260e-01 info 3.441e-02 | train C 5.62e-05 S 0.991 | EVAL C 4.907e-05 S 0.9925 | buf 200000 | 2455s
ep  2772 | dynL 0.497 polR 1.972e-01 info 4.110e-02 | train C 4.64e-05 S 0.993 | EVAL C 4.835e-05 S 0.9925 | buf 200000 | 2701s
