name, memory.total [MiB]
NVIDIA A100-PCIE-40GB, 40960 MiB
=== PO4NCPA LOG-REWARD FROM SCRATCH (static): episodes=120000 ===
[infogain] correction scale min 2.52e-09 max 4.65e-08 | probe scale (x0.1) min 2.52e-10 max 4.65e-09 | modes=55 action=110
[infogain] device=cuda image=33x33 modes=55 action=110 workers=14 max_steps=8 lambda_info=0.0 reward=log lr_final_frac=0.3 explore_std_final=0.02
ep   252 | dynL 0.280 polR 0.000e+00 info 0.000e+00 | train C 1.68e-03 S 0.793 | EVAL C 1.842e-04 S 0.9733 | buf 2016 | 82s
ep   504 | dynL 0.315 polR 0.000e+00 info 0.000e+00 | train C 1.61e-03 S 0.849 | EVAL C 1.842e-04 S 0.9733 | buf 4032 | 162s
ep   756 | dynL 0.334 polR 0.000e+00 info 0.000e+00 | train C 1.82e-03 S 0.776 | EVAL C 1.842e-04 S 0.9733 | buf 6048 | 241s
ep  1008 | dynL 0.352 polR 0.000e+00 info 0.000e+00 | train C 1.16e-03 S 0.823 | EVAL C 1.842e-04 S 0.9733 | buf 8064 | 320s
ep  1260 | dynL 0.358 polR 0.000e+00 info 0.000e+00 | train C 1.45e-03 S 0.747 | EVAL C 1.842e-04 S 0.9733 | buf 10080 | 400s
ep  1512 | dynL 0.370 polR 0.000e+00 info 0.000e+00 | train C 1.87e-03 S 0.756 | EVAL C 1.842e-04 S 0.9733 | buf 12096 | 479s
ep  1764 | dynL 0.374 polR 0.000e+00 info 0.000e+00 | train C 2.77e-03 S 0.702 | EVAL C 1.842e-04 S 0.9733 | buf 14112 | 559s
ep  2016 | dynL 0.377 polR 0.000e+00 info 0.000e+00 | train C 2.50e-03 S 0.695 | EVAL C 1.842e-04 S 0.9733 | buf 16128 | 638s
ep  2268 | dynL 0.383 polR 0.000e+00 info 0.000e+00 | train C 8.76e-04 S 0.910 | EVAL C 1.842e-04 S 0.9733 | buf 18144 | 718s
ep  2520 | dynL 0.388 polR 0.000e+00 info 0.000e+00 | train C 1.27e-03 S 0.766 | EVAL C 1.842e-04 S 0.9733 | buf 20160 | 797s
ep  2772 | dynL 0.390 polR 0.000e+00 info 0.000e+00 | train C 2.25e-03 S 0.730 | EVAL C 1.842e-04 S 0.9733 | buf 22176 | 876s
ep  3024 | dynL 0.388 polR 0.000e+00 info 0.000e+00 | train C 1.68e-03 S 0.767 | EVAL C 1.842e-04 S 0.9733 | buf 24192 | 955s
ep  3276 | dynL 0.393 polR 0.000e+00 info 0.000e+00 | train C 2.82e-03 S 0.681 | EVAL C 1.842e-04 S 0.9733 | buf 26208 | 1034s
ep  3528 | dynL 0.394 polR 0.000e+00 info 0.000e+00 | train C 1.38e-03 S 0.827 | EVAL C 1.842e-04 S 0.9733 | buf 28224 | 1113s
ep  3780 | dynL 0.393 polR 0.000e+00 info 0.000e+00 | train C 1.22e-03 S 0.795 | EVAL C 1.842e-04 S 0.9733 | buf 30240 | 1193s
ep  4032 | dynL 0.395 polR -4.295e-01 info 5.417e-02 | train C 2.19e-04 S 0.967 | EVAL C 1.856e-04 S 0.9727 | buf 32256 | 1279s
ep  4284 | dynL 0.397 polR -3.792e-01 info 3.084e-02 | train C 4.53e-04 S 0.951 | EVAL C 2.614e-04 S 0.9650 | buf 34272 | 1417s
ep  4536 | dynL 0.392 polR -3.510e-01 info 3.147e-02 | train C 2.62e-04 S 0.948 | EVAL C 2.256e-04 S 0.9693 | buf 36288 | 1554s
ep  4788 | dynL 0.391 polR -2.966e-01 info 2.023e-02 | train C 3.48e-04 S 0.963 | EVAL C 1.806e-04 S 0.9723 | buf 38304 | 1691s
ep  5040 | dynL 0.393 polR -2.953e-01 info 2.102e-02 | train C 3.56e-04 S 0.954 | EVAL C 1.818e-04 S 0.9712 | buf 40320 | 1828s
ep  5292 | dynL 0.392 polR -3.033e-01 info 2.249e-02 | train C 2.10e-04 S 0.979 | EVAL C 1.881e-04 S 0.9710 | buf 42336 | 1964s
ep  5544 | dynL 0.391 polR -3.567e-01 info 2.255e-02 | train C 1.61e-04 S 0.966 | EVAL C 1.853e-04 S 0.9727 | buf 44352 | 2101s
ep  5796 | dynL 0.391 polR -2.660e-01 info 2.336e-02 | train C 2.82e-04 S 0.964 | EVAL C 1.871e-04 S 0.9718 | buf 46368 | 2239s
ep  6048 | dynL 0.391 polR -2.906e-01 info 2.896e-02 | train C 2.06e-04 S 0.971 | EVAL C 1.879e-04 S 0.9719 | buf 48384 | 2376s
ep  6300 | dynL 0.390 polR -2.901e-01 info 3.214e-02 | train C 3.40e-04 S 0.955 | EVAL C 2.012e-04 S 0.9701 | buf 50400 | 2513s
ep  6552 | dynL 0.393 polR -3.316e-01 info 2.712e-02 | train C 1.33e-04 S 0.982 | EVAL C 1.912e-04 S 0.9693 | buf 52416 | 2651s
ep  6804 | dynL 0.393 polR -2.644e-01 info 2.320e-02 | train C 2.19e-04 S 0.968 | EVAL C 1.864e-04 S 0.9715 | buf 54432 | 2787s
ep  7056 | dynL 0.391 polR -2.458e-01 info 2.362e-02 | train C 2.12e-04 S 0.974 | EVAL C 1.881e-04 S 0.9719 | buf 56448 | 2925s
ep  7308 | dynL 0.391 polR -2.700e-01 info 2.448e-02 | train C 1.39e-04 S 0.980 | EVAL C 1.946e-04 S 0.9731 | buf 58464 | 3062s
ep  7560 | dynL 0.393 polR -2.263e-01 info 1.870e-02 | train C 1.95e-04 S 0.954 | EVAL C 1.701e-04 S 0.9755 | buf 60480 | 3200s
ep  7812 | dynL 0.395 polR -2.371e-01 info 1.965e-02 | train C 2.76e-04 S 0.965 | EVAL C 1.469e-04 S 0.9796 | buf 62496 | 3336s
ep  8064 | dynL 0.394 polR -2.343e-01 info 2.657e-02 | train C 1.23e-04 S 0.982 | EVAL C 1.411e-04 S 0.9807 | buf 64512 | 3473s
ep  8316 | dynL 0.394 polR -1.794e-01 info 2.302e-02 | train C 2.51e-04 S 0.955 | EVAL C 1.331e-04 S 0.9824 | buf 66528 | 3608s
ep  8568 | dynL 0.394 polR -1.845e-01 info 2.135e-02 | train C 1.04e-04 S 0.979 | EVAL C 1.290e-04 S 0.9828 | buf 68544 | 3747s
ep  8820 | dynL 0.396 polR -2.053e-01 info 2.307e-02 | train C 1.27e-04 S 0.976 | EVAL C 1.278e-04 S 0.9843 | buf 70560 | 3883s
