[po4ncpa] per-mode action scale: min 2.52e-09 max 4.65e-08 (headroom 5.0, 55 modes)
[po4ncpa] device=cuda image=33x33 modes=55 coronagraph=True
[po4ncpa] ideal-image residual ref: max=6.395e-10 sum=1.659e-07
ep   250 | dynL 0.169 polR 0.000e+00 | train C 1.60e-03 S 0.749 | EVAL C 1.825e-04 S 0.9734 | buf 5000 | 549s
ep   500 | dynL 0.169 polR 0.000e+00 | train C 1.14e-03 S 0.815 | EVAL C 1.825e-04 S 0.9734 | buf 10000 | 1089s
ep   750 | dynL 0.170 polR 0.000e+00 | train C 1.38e-03 S 0.839 | EVAL C 1.825e-04 S 0.9734 | buf 15000 | 1636s
ep  1000 | dynL 0.172 polR 0.000e+00 | train C 2.07e-03 S 0.723 | EVAL C 1.825e-04 S 0.9734 | buf 20000 | 2177s
ep  1250 | dynL 0.171 polR 0.000e+00 | train C 2.01e-03 S 0.687 | EVAL C 1.825e-04 S 0.9734 | buf 25000 | 2718s
ep  1500 | dynL 0.173 polR 0.000e+00 | train C 1.45e-03 S 0.802 | EVAL C 1.825e-04 S 0.9734 | buf 30000 | 3265s
ep  1750 | dynL 0.173 polR 0.000e+00 | train C 2.21e-03 S 0.690 | EVAL C 1.825e-04 S 0.9734 | buf 35000 | 3813s
ep  2000 | dynL 0.174 polR 0.000e+00 | train C 1.55e-03 S 0.826 | EVAL C 1.825e-04 S 0.9734 | buf 40000 | 4341s
ep  2250 | dynL 0.175 polR 0.000e+00 | train C 2.15e-03 S 0.786 | EVAL C 1.825e-04 S 0.9734 | buf 45000 | 4872s
ep  2500 | dynL 0.174 polR 0.000e+00 | train C 1.18e-03 S 0.796 | EVAL C 1.825e-04 S 0.9734 | buf 50000 | 5453s
ep  2750 | dynL 0.176 polR 0.000e+00 | train C 1.21e-03 S 0.777 | EVAL C 1.825e-04 S 0.9734 | buf 55000 | 6046s
ep  3000 | dynL 0.176 polR 0.000e+00 | train C 1.16e-03 S 0.733 | EVAL C 1.825e-04 S 0.9734 | buf 60000 | 6604s
ep  3250 | dynL 0.177 polR 0.000e+00 | train C 1.68e-03 S 0.766 | EVAL C 1.825e-04 S 0.9734 | buf 65000 | 7179s
ep  3500 | dynL 0.177 polR 0.000e+00 | train C 1.76e-03 S 0.718 | EVAL C 1.825e-04 S 0.9734 | buf 70000 | 7767s
ep  3750 | dynL 0.176 polR 0.000e+00 | train C 1.66e-03 S 0.782 | EVAL C 1.825e-04 S 0.9734 | buf 75000 | 8336s
